Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 109 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 109 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, Грайвороновская улица, дом 18, корпус 1",POINT(37.735023483 55.719619218)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 62 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 62 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Красноармейская улица, дом 18",POINT(37.544961294 55.80071613)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 66 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 66 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Косино-Ухтомский, улица Руднёвка, дом 8",POINT(37.890060144 55.715991976)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Кузнечики» Департамента здравоохранения города Москвы. Рязановская,ГБУЗ Поликлиника «Кузнечики» ДЗМ. Рязановская,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щербинка, посёлок Фабрики имени 1 Мая, дом 31А",POINT(37.510324053 55.486003266)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Кузнечики» Департамента здравоохранения города Москвы». ФАП МИНЗАГ,ГБУЗ Поликлиника «Кузнечики» ДЗМ. ФАП МИНЗАГ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Краснопахорский, посёлок Подсобного Хозяйства Минзаг, дом 1",POINT(37.32789225 55.444902939)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Кузнечики» Департамента здравоохранения города Москвы. Михайлово-Ярцевская поликлиника,ГБУЗ Поликлиника «Кузнечики» ДЗМ. Михайлово Ярцевская поликлиника,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Краснопахорский, посёлок Шишкин Лес, дом 32, строение 1",POINT(37.182173809 55.412745387)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 170 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Ратная улица, дом 8Г",POINT(37.58219217 55.574599164)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 52 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 52 филиал № 1 ДЗМ,"город Москва, Ряжская улица, дом 13",POINT(37.668595856 55.590481106)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 67 филиал № 7 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 67 филиал № 7 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Большая Черёмушкинская улица, дом 6А",POINT(37.594241395 55.687557824)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 134 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 134 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Тёплый Стан, дом 13, корпус 2",POINT(37.48886455 55.623860151)
