ticket_id,price,square,rooms,studio,floor,floors_total,building_year,metro,metro_dist,time_to_metro,address,keep,photo,url
9580937.0,36500000,65.0,2,False,34,49.0,2025.0,станция Дмитровская,500.0,8.0,"Москва, Савёловский, 2-я Хуторская вл34кс",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/c5/f6/e470662ff4a262d00d169852c716b7ffc433f6c5.jpeg,https://msk.etagi.com/realty/9580937/
7645799.0,19000000,42.8,1,False,26,28.0,2025.0,метро Тушинская,1500.0,23.0,"Москва, Покровское-Стрешнево, Строительный проезд 9 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/e8/91/fac45723cb407cbdc1200ab4abc379a4a7ec91e8.jpeg,https://msk.etagi.com/realty/7645799/
9672928.0,23500000,47.0,1,False,26,34.0,2025.0,метро Воронцовская,500.0,8.0,"Москва, Обручевский, Архитектора Власова 71 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/81/ae/6ec74a3d607109954d44b66e923ffb1fe951ae81.png,https://msk.etagi.com/realty/9672928/
11707111.0,10950000,22.6,0,True,27,33.0,2026.0,станция Лихоборы,1300.0,20.0,"Москва, Западное Дегунино, Ильменский проезд 4 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/9d/2a904aedbb32365e98502d9b1f59d7f24cd99a9d.png,https://msk.etagi.com/realty/11707111/
947972.0,19500000,27.3,0,True,3,29.0,2026.0,станция Аминьевская,200.0,3.0,"Москва, Раменки, Мосфильмовская 100",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/4b/47c0967fce4faa98dbb0776351e9079d6e0c594b.jpeg,https://msk.etagi.com/realty/947972/
844925.0,11500000,38.51,2,False,18,21.0,2025.0,станция Калитники,500.0,8.0,"Москва, Нижегородский, Автомобильный проезд 4 корпус 2кв6006",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/3e/afd8479a11d678a66bcbe1e0915c2cf4c760373e.jpeg,https://msk.etagi.com/realty/844925/
5731456.0,25500000,40.0,2,False,28,53.0,2026.0,станция Трикотажная,500.0,8.0,"Москва, Покровское-Стрешнево, Волоколамское шоссе 95/1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/b2/f3/1da2f40217c35255b183622aa1b0f32fdbeff3b2.jpeg,https://msk.etagi.com/realty/5731456/
615359.0,15300000,25.78,0,True,3,30.0,2025.0,станция Покровское-Стрешнево,300.0,5.0,"Москва, Щукино, 3-й Красногорский проезд 5",Не указано,https://cdn.esoft.digital/content/cluster/photos/9a/52/9cc26c12acc44c25770e1f6d6fbe263988c4529a.jpeg,https://msk.etagi.com/realty/615359/
12162784.0,15500000,38.0,1,False,14,25.0,2026.0,,,,"Московский, Киевское шоссе 1ка",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/19/906efa48afa90c601bcf5b8e6e042f86c8051219.jpeg,https://msk.etagi.com/realty/12162784/
12137142.0,9500000,23.0,0,True,10,17.0,2025.0,,,,"Сосенское, Эдварда Грига 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/d3/444dcaa4a44b517c4af3b33db34ec236870524d3.jpeg,https://msk.etagi.com/realty/12137142/
12073632.0,9200000,22.7,0,True,15,20.0,2025.0,метро Прокшино,1000.0,15.0,"Сосенское, Братьев Гранат 8",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/42/9b68e0358b85ebe4d8023d072eb8e3f5b2b88642.jpeg,https://msk.etagi.com/realty/12073632/
12022446.0,15200000,36.2,1,False,4,15.0,2025.0,,,,"Сосенское, Лобановский Лес 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/7d/84c50966221597ca2f8e04ecd4f2689f0051ab7d.jpeg,https://msk.etagi.com/realty/12022446/
11971059.0,24750000,60.0,3,False,11,17.0,2025.0,метро Потапово,1700.0,26.0,"Сосенское, проспект Куприна 7 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/7d/8adf6201e39807cbfec3a21e935f9ecfcf79f57d.jpeg,https://msk.etagi.com/realty/11971059/
11883415.0,24500000,70.4,3,False,5,7.0,2025.0,метро Потапово,1800.0,27.0,"Сосенское, проспект Куприна 9 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/03/38511a04f7c6ef1a10cedb5211222207172bcd03.jpeg,https://msk.etagi.com/realty/11883415/
11811255.0,13350000,30.1,0,True,4,15.0,2025.0,,,,"Филимонковское, Харлампиева 32",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/93/0764ef04a9024a6baef0a1366b49db7af01cfb93.jpeg,https://msk.etagi.com/realty/11811255/
9714907.0,22900000,58.0,2,False,9,22.0,2025.0,метро Филатов Луг,600.0,9.0,"Сосенское, Большое Понизовье 8",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/18/b7c10cb7cc7d00e40a4376efc57e9c21ac7a9b18.jpeg,https://msk.etagi.com/realty/9714907/
12179786.0,33000000,84.0,3,False,24,33.0,2025.0,станция Бульвар Рокоссовского,600.0,9.0,"Москва, Метрогородок, Тагильская 2",Не указано,,https://msk.etagi.com/realty/12179786/
,15150120,38.2,2,False,29,35.0,2026.0,станция Ростокино,800.0,12.0,"Москва, Свиблово, проспект Мира 211 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/01/a8/67217bfd454dd0952142c1588a4f5457b938aaa8.jpeg,
,26603572,43.7,1,False,21,35.0,2025.0,метро Технопарк,300.0,5.0,"Москва, Даниловский, проспект Андропова 18 корпус 9",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/61/33687b209d880e8d83d83cec48d4b94ee4752b61.jpeg,
,89563320,113.93,5,False,30,30.0,2025.0,станция Покровское-Стрешнево,300.0,5.0,"Москва, 3-й Красногорский проезд 5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/12/27/9b9af1535df09fde9d4f53ee286d07a656e02712.jpeg,
,459395000,330.0,0,True,1,19.0,2025.0,метро Савёловская,300.0,5.0,"Москва, Беговой, Бумажный проезд 19с2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/f4/bd/f1940d1a661a7120a271193b68833aa53806bdf4.jpeg,
,31284110,77.31,3,False,7,10.0,2026.0,станция Трикотажная,500.0,8.0,"Москва, Покровское-Стрешнево, Волоколамское шоссе 95/1 корпус 11",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/fc/b83827262f942c909f9e57a26f087f72e3d05cfc.jpeg,
,25703245,61.35,2,False,20,52.0,2026.0,станция Трикотажная,500.0,8.0,"Москва, Покровское-Стрешнево, Волоколамское шоссе 95/1 корпус 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/f7/98fc818b2aef1ef1f58ccd6b9ff0ef34d5edadf7.jpeg,
,121814604,129.72,0,True,30,82.0,2027.0,метро Деловой центр,400.0,6.0,"Москва, Пресненский, 1-й Красногвардейский проезд",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects/bf/735706de8002d5ea2044062722b9e828a04118bf.jpeg,
,23928530,64.1,2,False,2,34.0,2025.0,станция Дегунино,1100.0,17.0,"Москва, Алтуфьевский, Алтуфьевское шоссе 53",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/2b/e30d0851aa28b5f7c7dd6ce3b7c889f0a5adc52b.jpeg,
,37160143,47.03,1,False,57,73.0,2026.0,станция Площадь Гагарина,600.0,9.0,"Москва, Донской, 5-й Донской проезд вл21 корпус 6",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/71/97df8e87347100e6a81abb17a8e3644824d22d71.png,
,60557040,60.4,2,False,24,32.0,2025.0,метро Павелецкая,800.0,12.0,"Москва, Даниловский, Летниковская 11 корпус 5",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/c8/314365385aceeb6ab47f981e293d0c00f3109ec8.jpeg,
,59524000,64.05,2,False,16,33.0,2025.0,станция Белорусская,800.0,12.0,"Москва, Пресненский, Пресненский Вал 27 корпус 2/1",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/b3/9ad5b1b88ce2e9d6bc0281b5ad295e1fca3a8bb3.png,
,30662503,40.23,1,False,24,25.0,2025.0,метро Нагатинская,300.0,5.0,"Москва, Нагатино-Садовники, Нагатинская к3вл1",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/18/e8fc31f26575d32197565bc2b5c2e3b90e713918.jpeg,
,24228657,63.81,2,False,2,32.0,2025.0,станция Ховрино,1200.0,18.0,"Москва, Западное Дегунино, Ижорская 6 корпус 7",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/fb/ccf096c5ce962d8d8068d3e31e46d057fdb6b7fb.jpeg,
,59388390,82.7,2,False,21,24.0,2025.0,метро Ботанический сад,600.0,9.0,"Москва, Ростокино, Сельскохозяйственная 26с11",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/97/63d0a87a3e641e13b791e94104279e45277a1297.png,
