"id","Code","Name","global_id","Is net object","Operating company","Object type","Area","District","Address","Public phone","Seats amount","Presence of privileges","Longitude in WGS-84","Latitude in WGS-84","Geodata","Centroid"
12320,"00448309",По-Бургеру,"2667080909",нет,"",предприятие быстрого обслуживания,Северный административный округ,Тимирязевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Дмитровский проезд, дом 1",PublicPhone:(910) 089-81-17,"5",нет,"37.5782179999999900","55.8088557727942200","type:Point
coordinates:37.578218,55.808855773","{type=Point, coordinates=[37.578218, 55.808855773]}"
12564,"00451861",Буфет (поликлиника),"2682028541",нет,"",кафетерий,Южный административный округ,район Орехово-Борисово Северное,"город Москва, улица Генерала Белова, дом 19, корпус 2",PublicPhone:нет телефона,"8",нет,"37.7205240000000050","55.6180797176145280","type:Point
coordinates:37.720524,55.618079718","{type=Point, coordinates=[37.720524, 55.618079718]}"
12321,"00448405",Шаурма Гриль,"2667080910",нет,"",предприятие быстрого обслуживания,Зеленоградский административный округ,район Крюково,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, Новокрюковская улица, дом 7",PublicPhone:(963) 635-65-22,"0",нет,"37.1712530000000000","55.9807090000000000","type:Point
coordinates:37.171253,55.980709","{type=Point, coordinates=[37.171253, 55.980709]}"
12322,"00448704",Ваш Лаваш (Грузинская кухня),"2667080935",нет,"",предприятие быстрого обслуживания,Зеленоградский административный округ,район Силино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Панфилова, дом 11",PublicPhone:(906) 717-25-76,"8",нет,"37.1745029999999940","55.9820918237120300","type:Point
coordinates:37.174503,55.982091824","{type=Point, coordinates=[37.174503, 55.982091824]}"
12323,"00448418",Чайхана шаурма,"2667080938",нет,"",предприятие быстрого обслуживания,Западный административный округ,район Очаково-Матвеевское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Матвеевская улица, дом 8",PublicPhone:(964) 572-98-77,"0",нет,"37.4732629999999960","55.7035597422226590","type:Point
coordinates:37.473263,55.703559742","{type=Point, coordinates=[37.473263, 55.703559742]}"
12324,"00448612",Шаурма Шашлык,"2667080942",нет,"",предприятие быстрого обслуживания,Северо-Восточный административный округ,район Бибирево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Плещеева, дом 12А",PublicPhone:(926) 013-10-60,"0",нет,"37.6107670000000030","55.8858297953233250","type:Point
coordinates:37.610767,55.885829795","{type=Point, coordinates=[37.610767, 55.885829795]}"
12325,"00448565",А food Мясо на углях (Вайнахская кухня Халяль),"2667080944",нет,"",предприятие быстрого обслуживания,Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 86В",PublicPhone:нет телефона,"0",нет,"37.4801080000000010","55.6614517300769980","type:Point
coordinates:37.480108,55.66145173","{type=Point, coordinates=[37.480108, 55.66145173]}"
12326,"00448567",Oregano S Italy,"2667080945",нет,"",предприятие быстрого обслуживания,Западный административный округ,район Тропарёво-Никулино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, проспект Вернадского, дом 86В",PublicPhone:нет телефона,"0",нет,"37.4801080000000010","55.6614517300769980","type:Point
coordinates:37.480108,55.66145173","{type=Point, coordinates=[37.480108, 55.66145173]}"
12327,"00448298",Дабл Би,"2667081025",да,Дабл Би,кафетерий,Северный административный округ,Тимирязевский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тимирязевский, Дмитровский проезд, дом 1",PublicPhone:(909) 916-35-77,"10",нет,"37.5782179999999900","55.8088557727942200","type:Point
coordinates:37.578218,55.808855773","{type=Point, coordinates=[37.578218, 55.808855773]}"
12328,"00448230",Маршрут,"2667081026",нет,"",кафетерий,Зеленоградский административный округ,район Матушкино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, корпус 438",PublicPhone:(929) 609-81-34,"25",нет,"37.2129740000000000","55.9937800000000000","type:Point
coordinates:37.212974,55.99378","{type=Point, coordinates=[37.212974, 55.99378]}"
