id,Code,Name,global_id,Is net object,Operating company,Object type,Area,District,Address,Public phone,Seats amount,Presence of privileges,Longitude in WGS-84,Latitude in WGS-84,Geodata,Centroid
6553,309737,Martini&Tonic,1133072801,нет,,бар,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Рождественский бульвар, дом 1",PublicPhone:нет телефона,10,нет,37.624028,55.76672976052913,"type:Point
coordinates:37.624028,55.766729761","{type=Point, coordinates=[37.624028, 55.766729761]}"
6555,309036,Шашлычный двор,1133072849,нет,,ресторан,Северо-Восточный административный округ,Останкинский район,"город Москва, 1-я Останкинская улица, дом 53",PublicPhone:(926) 424-30-33,30,нет,37.632103,55.82443677734224,"type:Point
coordinates:37.632103,55.824436777","{type=Point, coordinates=[37.632103, 55.824436777]}"
6556,309040,Нью Сеул - NSEOUL,1133072854,нет,,кафе,Центральный административный округ,Тверской район,"город Москва, Новослободская улица, дом 4",PublicPhone:(926) 554-40-51,8,нет,37.601367,55.780030764396805,"type:Point
coordinates:37.601367,55.780030764","{type=Point, coordinates=[37.601367, 55.780030764]}"
6557,309043,PHO CONG,1133072861,нет,,кафе,Центральный административный округ,Тверской район,"город Москва, Новослободская улица, дом 4",PublicPhone:(916) 534-91-52,4,нет,37.601367,55.780030764396805,"type:Point
coordinates:37.601367,55.780030764","{type=Point, coordinates=[37.601367, 55.780030764]}"
6559,309066,Кухня Кипра,1133072887,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Цветной бульвар, дом 15, строение 1",PublicPhone:(905) 790-80-00,12,нет,37.620137,55.77112676180719,"type:Point
coordinates:37.620137,55.771126762","{type=Point, coordinates=[37.620137, 55.771126762]}"
6560,309105,Yopells (ДЕПО МОСКВА),1133072924,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(927) 628-17-77,4,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6561,309085,Пиццерия Antonio,1133072939,нет,,кафе,Северо-Восточный административный округ,район Бибирево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Лескова, дом 14",PublicPhone:(910) 465-41-45,10,нет,37.604452,55.89726779868405,"type:Point
coordinates:37.604452,55.897267799","{type=Point, coordinates=[37.604452, 55.897267799]}"
6562,309113,Ester Bakery (ДЕПО МОСКВА),1133072946,нет,,кафе,Центральный административный округ,Тверской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3",PublicPhone:(925) 504-66-77,4,нет,37.592962,55.78020276444686,"type:Point
coordinates:37.592962,55.780202764","{type=Point, coordinates=[37.592962, 55.780202764]}"
6563,309768,Han Cook,1133072967,нет,,кафе,Северный административный округ,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4",PublicPhone:(963) 516-43-91,0,нет,37.529895,55.790451767430234,"type:Point
coordinates:37.529895,55.790451767","{type=Point, coordinates=[37.529895, 55.790451767]}"
6564,309821,Juice City,1133073033,нет,,бар,Северный административный округ,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4",PublicPhone:(999) 866-55-55,0,нет,37.529895,55.790451767430234,"type:Point
coordinates:37.529895,55.790451767","{type=Point, coordinates=[37.529895, 55.790451767]}"
6565,309841,Винбаза,1133073082,нет,,ресторан,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Мытная улица, дом 74",PublicPhone:нет телефона,10,нет,37.620594999999994,55.712162744709744,"type:Point
coordinates:37.620595,55.712162745","{type=Point, coordinates=[37.620595, 55.712162745]}"
6569,309910,Cinnabon,1133073180,нет,,кафе,Северный административный округ,Хорошёвский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4",PublicPhone:(926) 479-26-46,0,нет,37.529895,55.790451767430234,"type:Point
coordinates:37.529895,55.790451767","{type=Point, coordinates=[37.529895, 55.790451767]}"
6570,309953,Сойка напела,1133073188,нет,,кафе,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 36, строение 1",PublicPhone:нет телефона,36,нет,37.56726447305581,55.7629808836415,"type:Point
coordinates:37.567264473,55.762980884","{type=Point, coordinates=[37.567264473, 55.762980884]}"
6571,309926,Veranda Riverside,1133073225,нет,,ресторан,Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Лужники, дом 24, строение 34",PublicPhone:(915) 009-00-09,112,нет,37.546241,55.71596574580977,"type:Point
coordinates:37.546241,55.715965746","{type=Point, coordinates=[37.546241, 55.715965746]}"
6576,310174,Доктор на крыше,1133073323,нет,,ресторан,Центральный административный округ,Тверской район,"город Москва, 2-й Тверской-Ямской переулок, дом 10",PublicPhone:(929) 610-85-18,38,нет,37.594903000000016,55.77315576239712,"type:Point
coordinates:37.594903,55.773155762","{type=Point, coordinates=[37.594903, 55.773155762]}"
