rating_position,school_name,okrug,district,address,top_50,location
141,Школа имени Артема Боровика,Юго-Восточный,Марьино,Россия. город Москва. улица Братиславская. дом 4,F,POINT(37.75119 55.66547)
142,Школа № 1357 «На Братиславской»,Юго-Восточный,Марьино,Россия. город Москва. улица Перерва. дом 44,F,POINT(37.73566 55.65181)
143,Школа № 2087 «Открытие»,Юго-Восточный,Марьино,Россия. город Москва. улица Перерва. дом 12,F,POINT(37.72160 55.65174)
144,Школа № 491 «Марьино»,Юго-Восточный,Марьино,Россия. город Москва. Новочеркасский бульвар. дом 17,F,POINT(37.72077 55.64905)
145,Школа в Некрасовке,Юго-Восточный,Некрасовка,Россия. город Москва. улица Льва Яшина. дом 3,F,POINT(37.92294 55.69941)
146,Школа № 2051,Юго-Восточный,Некрасовка,Россия. город Москва. проспект Защитников Москвы. дом 9. корп. 2,F,POINT(37.91872 55.70204)
147,Школа № 1367,Юго-Восточный,Рязанский,Россия. город Москва. Волжский бульвар. дом 6. корп. 3,F,POINT(37.73660 55.71750)
148,Школа № 777 имени Е.В. Михайлова,Юго-Восточный,Рязанский,Россия. город Москва. улица Шарикоподшипниковская. дом 14А,F,POINT(37.67357 55.71879)
149,Школа № 654 имени А.Д. Фридмана,Юго-Восточный,Текстильщики,Россия. город Москва. улица Юных Ленинцев. дом 35. корп. 2,F,POINT(37.74423 55.70095)
150,Школа № 199,Юго-Западный,Академический,Россия. город Москва. улица Ивана Бабушкина. дом 15. корп. 2,F,POINT(37.56245 55.68520)
151,Школа № 625,Юго-Западный,Академический,Россия. город Москва. улица Шверника. дом 17. корп. 2,F,POINT(37.59299 55.69235)
152,Школа № 2086,Юго-Западный,Гагаринский,Россия. город Москва. Университетский проспект. дом 3,F,POINT(37.55060 55.69437)
153,Школа № 17,Юго-Западный,Коньково,Россия. город Москва. улица Островитянова. дом 53. корп. 4,F,POINT(37.53973 55.63715)
154,Школа № 117,Юго-Западный,Ломоносовский,Россия. город Москва. улица Академика Пилюгина. дом 14А,F,POINT(37.53401 55.67212)
155,Школа № 118,Юго-Западный,Ломоносовский,Россия. город Москва. Нахимовский проспект. дом 35. корп. 4,F,POINT(37.57488 55.67313)
156,Школа № 2114,Юго-Западный,Северное Бутово,Россия. город Москва. бульвар Дмитрия Донского. дом 14А,F,POINT(37.57063 55.56538)
157,Школа № 1507,Юго-Западный,Теплый Стан,Россия. город Москва. Профсоюзная улица. дом 132. корп. 9,F,POINT(37.50695 55.63081)
158,Школа № 1948 «Лингвист-М»,Юго-Западный,Черемушки,Россия. город Москва. Новочерёмушкинская улица. дом 64. корп. 2,F,POINT(37.55791 55.66446)
159,Школа № 1354 «Вектор»,Юго-Западный,Южное Бутово,Россия. город Москва. улица Изюмская. дом 38. корп. 1,F,POINT(37.56386 55.54812)
160,Школа № 1883 «Бутово»,Юго-Западный,Южное Бутово,Россия. город Москва. улица Поляны. дом 53,F,POINT(37.54715 55.54950)
161,Школа № 2009,Юго-Западный,Южное Бутово,Россия. город Москва. улица Адмирала Лазарева. дом 40. корп. 2,F,POINT(37.52104 55.54519)
162,Школа № 508,Южный,"Бирюлево 
Восточное",Россия. город Москва. Элеваторная улица. дом 4. корп. 2,F,POINT(37.65558 55.60022)
163,Школа № 947,Южный,"Бирюлево 
Восточное",Россия. город Москва. Лебедянская улица. дом 16,F,POINT(37.67453 55.58452)
164,Школа № 1553 им. В.И. Вернадского,Южный,Даниловский,Россия. город Москва. Дербеневская улица. дом 13,F,POINT(37.64896 55.72102)
165,Школа № 1552,Южный,Зябликово,Россия. город Москва. улица Мусы Джалиля. дом 25,F,POINT(37.74659 55.61965)
166,Школа № 1569 «Созвездие»,Южный,Зябликово,Россия. город Москва. улица Мусы Джалиля. дом 36. корп. 2,F,POINT(37.73877 55.61730)
167,Школа № 1579,Южный,"Москворечье 
Сабурово",Россия. город Москва. 1-й Котляковский переулок. дом 4Б,F,POINT(37.63618 55.64639)
168,Школа № 507,Южный,"Нагатино 
Садовники",Россия. город Москва. Нагатинская улица. дом 18. корп. 1,F,POINT(37.65173 55.67807)
169,Школа № 544,Южный,Орехово-Борисово Южное,Россия. город Москва. Булатниковская улица. дом 1А,F,POINT(37.65447 55.57713)
170,Школа № 1173,Южный,"Чертаново 
Центральное",Россия. город Москва. Чертановская улица. дом 14А,F,POINT(37.59693 55.62920)
