category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 132 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 132 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Скульптора Мухиной, дом 14, корпус 1",POINT(37.338794454 55.63936129)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 81 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 81 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Теплый Стан, улица Академика Бакулева, дом 18",POINT(37.477008009 55.640893894)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 10 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 10 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Черемушки, Профсоюзная улица, дом 52",POINT(37.555787142 55.672492094)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Троицкая» Департамента здравоохранения города Москвы». Детское отделение,ГБУЗ Поликлиника «Троицкая» ДЗМ. Детское отделение,"Российская Федерация, город Москва, внутригородская территория городской округ Троицк, город Троицк, Октябрьский проспект, дом 5",POINT(37.294303134 55.475100859)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 32 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 32 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Гиляровского, дом 15",POINT(37.630022724 55.776018558)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 86 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 86 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Дмитровское шоссе, дом 107Г",POINT(37.540893689 55.878278615)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 130 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 130 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Осенний бульвар, дом 19",POINT(37.405967445 55.76243286)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 110 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 110 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Хачатуряна, дом 3",POINT(37.587248122 55.857217111)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 11 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 11 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, улица Грекова, дом 10А",POINT(37.66381087 55.889080427)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 120 Департамента здравоохранения города Москвы». Структурное подразделение № 5,ГБУЗ ДГП № 120 ДЗМ. Структурное подразделение № 5,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новокосино, Салтыковская улица, дом 7Б",POINT(37.861003373 55.734196724)
